Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2024,Max Verstappen,1,"Barcelona, Spain",2024-06-22,Practice 3,Practice,1:13.087
2024,Max Verstappen,1,"Barcelona, Spain",2024-06-22,Qualifying,Qualifying,1:11.403
2024,Max Verstappen,1,"Barcelona, Spain",2024-06-23,Race,Race,1:17.776
2024,Max Verstappen,1,"Spielberg, Austria",2024-06-28,Practice 1,Practice,1:5.685
2024,Max Verstappen,1,"Spielberg, Austria",2024-06-28,Sprint Qualifying,Qualifying,1:4.686
2024,Max Verstappen,1,"Spielberg, Austria",2024-06-29,Sprint,Race,1:9.013
2024,Max Verstappen,1,"Spielberg, Austria",2024-06-29,Qualifying,Qualifying,1:4.314
2024,Max Verstappen,1,"Spielberg, Austria",2024-06-30,Race,Race,1:7.719
2024,Max Verstappen,1,"Silverstone, Great Britain",2024-07-05,Practice 1,Practice,1:27.729
2024,Max Verstappen,1,"Silverstone, Great Britain",2024-07-05,Practice 2,Practice,1:27.233
2024,Max Verstappen,1,"Silverstone, Great Britain",2024-07-06,Practice 3,Practice,1:38.393
2024,Max Verstappen,1,"Silverstone, Great Britain",2024-07-06,Qualifying,Qualifying,1:26.203
2024,Max Verstappen,1,"Silverstone, Great Britain",2024-07-07,Race,Race,1:28.952
2024,Max Verstappen,1,"Budapest, Hungary",2024-07-19,Practice 1,Practice,1:18.989
2024,Max Verstappen,1,"Budapest, Hungary",2024-07-19,Practice 2,Practice,1:18.031
2024,Max Verstappen,1,"Budapest, Hungary",2024-07-20,Practice 3,Practice,1:16.379
2024,Max Verstappen,1,"Budapest, Hungary",2024-07-20,Qualifying,Qualifying,1:15.273
2024,Max Verstappen,1,"Budapest, Hungary",2024-07-21,Race,Race,1:20.908
2024,Max Verstappen,1,"Spa-Francorchamps, Belgium",2024-07-26,Practice 1,Practice,1:43.372
2024,Max Verstappen,1,"Spa-Francorchamps, Belgium",2024-07-26,Practice 2,Practice,1:42.477
2024,Max Verstappen,1,"Spa-Francorchamps, Belgium",2024-07-27,Practice 3,Practice,2:1.565
2024,Max Verstappen,1,"Spa-Francorchamps, Belgium",2024-07-27,Qualifying,Qualifying,1:53.159
2024,Max Verstappen,1,"Spa-Francorchamps, Belgium",2024-07-28,Race,Race,1:46.128
2024,Max Verstappen,1,"Zandvoort, Netherlands",2024-08-23,Practice 1,Practice,1:12.523
2024,Max Verstappen,1,"Zandvoort, Netherlands",2024-08-23,Practice 2,Practice,1:10.986
2024,Max Verstappen,1,"Zandvoort, Netherlands",2024-08-24,Practice 3,Practice,1:24.360
2024,Max Verstappen,1,"Zandvoort, Netherlands",2024-08-24,Qualifying,Qualifying,1:10.029
2024,Max Verstappen,1,"Zandvoort, Netherlands",2024-08-25,Race,Race,1:14.752
2024,Max Verstappen,1,"Monza, Italy",2024-08-30,Practice 1,Practice,1:21.676
2024,Max Verstappen,1,"Monza, Italy",2024-08-30,Practice 2,Practice,1:21.610
2024,Max Verstappen,1,"Monza, Italy",2024-08-31,Practice 3,Practice,1:20.368
2024,Max Verstappen,1,"Monza, Italy",2024-08-31,Qualifying,Qualifying,1:19.662
2024,Max Verstappen,1,"Monza, Italy",2024-09-01,Race,Race,1:21.745
2024,Max Verstappen,1,"Baku, Azerbaijan",2024-09-13,Practice 1,Practice,1:45.546
2024,Max Verstappen,1,"Baku, Azerbaijan",2024-09-13,Practice 2,Practice,1:44.029
2024,Max Verstappen,1,"Baku, Azerbaijan",2024-09-14,Practice 3,Practice,1:42.862
2024,Max Verstappen,1,"Baku, Azerbaijan",2024-09-14,Qualifying,Qualifying,1:42.023
2024,Max Verstappen,1,"Baku, Azerbaijan",2024-09-15,Race,Race,1:46.798
2024,Max Verstappen,1,"Marina Bay, Singapore",2024-09-20,Practice 1,Practice,1:32.097
2024,Max Verstappen,1,"Marina Bay, Singapore",2024-09-20,Practice 2,Practice,1:32.021
2024,Max Verstappen,1,"Marina Bay, Singapore",2024-09-21,Practice 3,Practice,1:30.540
2024,Max Verstappen,1,"Marina Bay, Singapore",2024-09-21,Qualifying,Qualifying,1:29.680
