Year,Driver Name,Driver Number,Race Location,Date,Session Name,Session Type,Fastest Lap Time
2024,M VERSTAPPEN,1,"Imola, Italy",2024-05-18,Qualifying,Qualifying,1:14.869
2024,G RUSSELL,63,"Imola, Italy",2024-05-19,Race,Race,1:18.589
2024,L HAMILTON,44,"Monaco, Monaco",2024-05-24,Practice 1,Practice,1:12.169
2024,C LECLERC,16,"Monaco, Monaco",2024-05-24,Practice 2,Practice,1:11.278
2024,C LECLERC,16,"Monaco, Monaco",2024-05-25,Practice 3,Practice,1:11.369
2024,C LECLERC,16,"Monaco, Monaco",2024-05-25,Qualifying,Qualifying,1:10.418
2024,L HAMILTON,44,"Monaco, Monaco",2024-05-26,Race,Race,1:14.165
2024,L NORRIS,4,"Montréal, Canada",2024-06-07,Practice 1,Practice,1:24.435
2024,F ALONSO,14,"Montréal, Canada",2024-06-07,Practice 2,Practice,1:15.810
2024,L HAMILTON,44,"Montréal, Canada",2024-06-08,Practice 3,Practice,1:12.549
2024,M VERSTAPPEN,1,"Montréal, Canada",2024-06-08,Qualifying,Qualifying,1:12.358
2024,L HAMILTON,44,"Montréal, Canada",2024-06-09,Race,Race,1:14.856
2024,L NORRIS,4,"Barcelona, Spain",2024-06-21,Practice 1,Practice,1:14.228
2024,L HAMILTON,44,"Barcelona, Spain",2024-06-21,Practice 2,Practice,1:13.264
2024,C SAINZ,55,"Barcelona, Spain",2024-06-22,Practice 3,Practice,1:13.013
2024,M VERSTAPPEN,1,"Barcelona, Spain",2024-06-22,Qualifying,Qualifying,1:11.653
2024,L NORRIS,4,"Barcelona, Spain",2024-06-23,Race,Race,1:17.115
2024,M VERSTAPPEN,1,"Spielberg, Austria",2024-06-28,Practice 1,Practice,1:5.685
2024,M VERSTAPPEN,1,"Spielberg, Austria",2024-06-28,Sprint Qualifying,Qualifying,1:4.686
2024,L NORRIS,4,"Spielberg, Austria",2024-06-29,Sprint,Race,1:8.935
2024,M VERSTAPPEN,1,"Spielberg, Austria",2024-06-29,Qualifying,Qualifying,1:4.314
2024,F ALONSO,14,"Spielberg, Austria",2024-06-30,Race,Race,1:7.694
2024,L NORRIS,4,"Silverstone, Great Britain",2024-07-05,Practice 1,Practice,1:27.420
2024,L NORRIS,4,"Silverstone, Great Britain",2024-07-05,Practice 2,Practice,1:26.549
2024,O PIASTRI,81,"Silverstone, Great Britain",2024-07-06,Practice 3,Practice,1:36.654
2024,G RUSSELL,63,"Silverstone, Great Britain",2024-07-06,Qualifying,Qualifying,1:26.024
2024,C SAINZ,55,"Silverstone, Great Britain",2024-07-07,Race,Race,1:28.293
2024,C SAINZ,55,"Budapest, Hungary",2024-07-19,Practice 1,Practice,1:18.713
2024,L NORRIS,4,"Budapest, Hungary",2024-07-19,Practice 2,Practice,1:17.788
2024,L NORRIS,4,"Budapest, Hungary",2024-07-20,Practice 3,Practice,1:16.098
2024,L NORRIS,4,"Budapest, Hungary",2024-07-20,Qualifying,Qualifying,1:15.227
2024,G RUSSELL,63,"Budapest, Hungary",2024-07-21,Race,Race,1:20.305
2024,M VERSTAPPEN,1,"Spa-Francorchamps, Belgium",2024-07-26,Practice 1,Practice,1:43.372
2024,L NORRIS,4,"Spa-Francorchamps, Belgium",2024-07-26,Practice 2,Practice,1:42.260
2024,M VERSTAPPEN,1,"Spa-Francorchamps, Belgium",2024-07-27,Practice 3,Practice,2:1.565
